p,q,r,A1,L1,A2,L2,A3,L3
3,2,2,0.69727154,588,0.897795314,622,0.673578449,655
3,3,2,0.737086422,592,0.917455626,621,0.701329607,650
3,4,2,0.731879387,595,0.917329748,621,0.696166616,647
3,5,2,0.608153369,596,0.905459342,621,0.632661751,645
3,6,2,0.492271901,597,0.892536628,621,0.527849231,644
3,7,2,0.412174341,598,0.88235922,621,0.404072884,643
3,8,2,0.273795155,598,0.875350996,621,0.301801025,643
3,9,2,0.199852241,599,0.870844173,621,0.206110934,643
3,2,3,0.739739264,592,0.829748146,621,0.684368536,651
3,3,3,0.781619472,596,0.895376018,621,0.726219931,645
3,4,3,0.80602644,599,0.916419357,621,0.765492378,642
3,5,3,0.770562024,601,0.912667434,621,0.735598674,640
3,6,3,0.669086716,602,0.900646424,621,0.634062099,638
3,7,3,0.534095468,603,0.888800624,621,0.525502967,638
3,8,3,0.401644392,603,0.879801161,621,0.428831576,637
3,9,3,0.273708793,604,0.873710323,621,0.326184383,637
3,2,4,0.748958994,594,0.728139792,621,0.693947528,648
3,3,4,0.804327742,599,0.838140935,621,0.739546079,642
3,4,4,0.840577627,602,0.896654137,621,0.771469861,639
3,5,4,0.832587519,604,0.913776038,621,0.81278523,636
3,6,4,0.715622059,605,0.909002467,621,0.743611097,635
3,7,4,0.644578136,606,0.897447011,621,0.662228508,634
3,8,4,0.543089308,607,0.886469778,621,0.573781151,633
3,9,4,0.425230978,607,0.87825274,621,0.450328991,633
3,2,5,0.750578892,596,0.588744389,621,0.692186898,646
3,3,5,0.786398635,601,0.734516293,621,0.737100084,640
3,4,5,0.848295102,604,0.840633108,621,0.789993902,636
3,5,5,0.846166087,606,0.895902499,621,0.824969158,634
3,6,5,0.851345825,608,0.9114621,621,0.839607679,632
3,7,5,0.784816449,609,0.906519177,621,0.787292484,631
3,8,5,0.620093016,609,0.895440409,621,0.708883357,630
3,9,5,0.561800916,610,0.885056558,621,0.593464029,630
3,2,6,0.748238395,597,0.437381403,621,0.695521033,645
3,3,6,0.790359044,602,0.592616826,621,0.742545823,639
3,4,6,0.83712465,605,0.736997239,621,0.796558422,635
3,5,6,0.867911855,608,0.841144829,621,0.839713497,632
3,6,6,0.842679061,610,0.894844216,621,0.865401041,630
3,7,6,0.83851246,611,0.909739714,621,0.852389848,629
3,8,6,0.745134151,611,0.904855313,621,0.812538297,628
3,9,6,0.692619035,612,0.894146555,621,0.728291248,627
3,2,7,0.760474487,597,0.30200653,621,0.695386915,645
3,3,7,0.794351141,602,0.439578577,621,0.732171298,639
3,4,7,0.838221229,606,0.594733341,621,0.788736053,634
3,5,7,0.856872811,609,0.738311379,621,0.831962318,631
3,6,7,0.866140394,611,0.841172498,621,0.865495464,629
3,7,7,0.893971426,612,0.893765832,621,0.869639855,627
3,8,7,0.85752015,613,0.908184243,621,0.862709029,626
3,9,7,0.766518323,613,0.903378223,621,0.828010514,626
3,2,8,0.744226528,598,0.197398752,621,0.69863837,644
3,3,8,0.789500899,603,0.3035918,621,0.742290789,638
3,4,8,0.810488552,606,0.441897701,621,0.781482221,634
3,5,8,0.85284064,609,0.597425029,621,0.812179328,631
3,6,8,0.871768011,611,0.7403328,621,0.852738236,628
3,7,8,0.889223972,613,0.841443383,621,0.868366322,627
3,8,8,0.88664044,614,0.892207892,621,0.888147076,625
3,9,8,0.82764168,614,0.905691646,621,0.882634949,624
4,2,2,0.730244572,589,0.798833795,622,0.696692673,654
4,3,2,0.666282484,592,0.881704557,621,0.684357542,650
4,4,2,0.641035737,595,0.935654787,621,0.612842436,647
4,5,2,0.451300391,596,0.962654326,621,0.506595752,645
4,6,2,0.340566431,597,0.974948846,621,0.383431719,644
4,7,2,0.276225801,598,0.980306208,621,0.275209801,643
4,8,2,0.172785363,598,0.982637329,621,0.194379789,643
4,9,2,0.123532208,599,0.983683194,621,0.127693367,643
4,2,3,0.812045012,592,0.689791643,621,0.781134226,650
4,3,3,0.761934878,596,0.810714333,621,0.786567523,645
4,4,3,0.742168819,599,0.892364971,621,0.729070635,642
4,5,3,0.65053467,601,0.939056364,621,0.625169999,640
4,6,3,0.509818824,602,0.962780222,621,0.490397033,638
4,7,3,0.376005882,603,0.974089263,621,0.371956961,638
4,8,3,0.265908634,603,0.979400366,621,0.289076521,637
4,9,3,0.172833803,604,0.981947168,621,0.210350978,637
4,2,4,0.831297335,595,0.561061071,621,0.800738068,647
4,3,4,0.873929387,599,0.704596167,621,0.840979937,642
4,4,4,0.836295786,602,0.819514475,621,0.802687894,638
4,5,4,0.753371901,604,0.895999614,621,0.768465134,636
4,6,4,0.57138926,605,0.939709893,621,0.620151633,635
4,7,4,0.484168213,606,0.962264018,621,0.510078681,634
4,8,4,0.382714234,607,0.97335182,621,0.414612096,633
4,9,4,0.28657221,607,0.978783686,621,0.308562157,633
4,2,5,0.890964934,596,0.421380572,621,0.831244237,646
4,3,5,0.896825428,601,0.569390595,621,0.871519389,640
4,4,5,0.894970447,604,0.710893586,621,0.873763857,636
4,5,5,0.808468238,606,0.823001454,621,0.819959546,634
4,6,5,0.761428146,608,0.897196109,621,0.779049834,632
4,7,5,0.641856171,609,0.939667265,621,0.670005141,631
4,8,5,0.468132034,609,0.961800533,621,0.556985711,630
4,9,5,0.403801618,610,0.972871035,621,0.444131734,630
4,2,6,0.905540264,597,0.29417339,621,0.840854839,645
4,3,6,0.921148052,602,0.425476651,621,0.885262948,639
4,4,6,0.89551601,605,0.573409456,621,0.901686534,635
4,5,6,0.896494052,608,0.714004269,621,0.901411931,632
4,6,6,0.776790445,609,0.824794773,621,0.860668653,630
